Ayah_number	sura name	chapter_number	meaning	content_ar	assudais	alafasy	almuaiqly	translation
63	Hud—هود	11	Hud	قَالَ يَا قَوْمِ أَرَأَيْتُمْ إِن كُنتُ عَلَىٰ بَيِّنَةٍ مِّن رَّبِّي وَآتَانِي مِنْهُ رَحْمَةً فَمَن يَنصُرُنِي مِنَ اللَّهِ إِنْ عَصَيْتُهُ ۖ فَمَا تَزِيدُونَنِي غَيْرَ تَخْسِيرٍ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/011063.mp3	http://www.everyayah.org/data/Alafasy_64kbps/011063.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/011063.mp3	"He said: ""O my people! do ye see? if I have a Clear (Sign) from my Lord and He hath sent Mercy unto me from Himself,- who then can help me against Allah if I were to disobey Him? What then would ye add to my (portion) but perdition?"
64	Hud—هود	11	Hud	وَيَا قَوْمِ هَٰذِهِ نَاقَةُ اللَّهِ لَكُمْ آيَةً فَذَرُوهَا تَأْكُلْ فِي أَرْضِ اللَّهِ وَلَا تَمَسُّوهَا بِسُوءٍ فَيَأْخُذَكُمْ عَذَابٌ قَرِيبٌ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/011064.mp3	http://www.everyayah.org/data/Alafasy_64kbps/011064.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/011064.mp3	"""And O my people! This she-camel of Allah is a symbol to you: leave her to feed on Allah's (free) earth, and inflict no harm on her, or a swift penalty will seize you!"""
65	Hud—هود	11	Hud	فَعَقَرُوهَا فَقَالَ تَمَتَّعُوا فِي دَارِكُمْ ثَلَاثَةَ أَيَّامٍ ۖ ذَٰلِكَ وَعْدٌ غَيْرُ مَكْذُوبٍ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/011065.mp3	http://www.everyayah.org/data/Alafasy_64kbps/011065.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/011065.mp3	"But they did ham-string her. So he said: ""Enjoy yourselves in your homes for three days: (Then will be your ruin): (Behold) there a promise not to be belied!"""
66	Hud—هود	11	Hud	فَلَمَّا جَاءَ أَمْرُنَا نَجَّيْنَا صَالِحًا وَالَّذِينَ آمَنُوا مَعَهُ بِرَحْمَةٍ مِّنَّا وَمِنْ خِزْيِ يَوْمِئِذٍ ۗ إِنَّ رَبَّكَ هُوَ الْقَوِيُّ الْعَزِيزُ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/011066.mp3	http://www.everyayah.org/data/Alafasy_64kbps/011066.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/011066.mp3	When Our Decree issued, We saved Salih and those who believed with him, by (special) Grace from Ourselves - and from the Ignominy of that day. For thy Lord - He is the Strong One, and able to enforce His Will.
67	Hud—هود	11	Hud	وَأَخَذَ الَّذِينَ ظَلَمُوا الصَّيْحَةُ فَأَصْبَحُوا فِي دِيَارِهِمْ جَاثِمِينَ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/011067.mp3	http://www.everyayah.org/data/Alafasy_64kbps/011067.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/011067.mp3	The (mighty) Blast overtook the wrong-doers, and they lay prostrate in their homes before the morning,-
68	Hud—هود	11	Hud	كَأَن لَّمْ يَغْنَوْا فِيهَا ۗ أَلَا إِنَّ ثَمُودَ كَفَرُوا رَبَّهُمْ ۗ أَلَا بُعْدًا لِّثَمُودَ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/011068.mp3	http://www.everyayah.org/data/Alafasy_64kbps/011068.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/011068.mp3	As if they had never dwelt and flourished there. Ah! Behold! for the Thamud rejected their Lord and Cherisher! Ah! Behold! removed (from sight) were the Thamud!
69	Hud—هود	11	Hud	وَلَقَدْ جَاءَتْ رُسُلُنَا إِبْرَاهِيمَ بِالْبُشْرَىٰ قَالُوا سَلَامًا ۖ قَالَ سَلَامٌ ۖ فَمَا لَبِثَ أَن جَاءَ بِعِجْلٍ حَنِيذٍ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/011069.mp3	http://www.everyayah.org/data/Alafasy_64kbps/011069.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/011069.mp3	"There came Our messengers to Abraham with glad tidings. They said, ""Peace!"" He answered, ""Peace!"" and hastened to entertain them with a roasted calf."
70	Hud—هود	11	Hud	فَلَمَّا رَأَىٰ أَيْدِيَهُمْ لَا تَصِلُ إِلَيْهِ نَكِرَهُمْ وَأَوْجَسَ مِنْهُمْ خِيفَةً ۚ قَالُوا لَا تَخَفْ إِنَّا أُرْسِلْنَا إِلَىٰ قَوْمِ لُوطٍ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/011070.mp3	http://www.everyayah.org/data/Alafasy_64kbps/011070.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/011070.mp3	"But when he saw their hands went not towards the (meal), he felt some mistrust of them, and conceived a fear of them. They said: ""Fear not: We have been sent against the people of Lut."""
71	Hud—هود	11	Hud	وَامْرَأَتُهُ قَائِمَةٌ فَضَحِكَتْ فَبَشَّرْنَاهَا بِإِسْحَاقَ وَمِن وَرَاءِ إِسْحَاقَ يَعْقُوبَ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/011071.mp3	http://www.everyayah.org/data/Alafasy_64kbps/011071.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/011071.mp3	And his wife was standing (there), and she laughed: But we gave her glad tidings of Isaac, and after him, of Jacob.
72	Hud—هود	11	Hud	قَالَتْ يَا وَيْلَتَىٰ أَأَلِدُ وَأَنَا عَجُوزٌ وَهَٰذَا بَعْلِي شَيْخًا ۖ إِنَّ هَٰذَا لَشَيْءٌ عَجِيبٌ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/011072.mp3	http://www.everyayah.org/data/Alafasy_64kbps/011072.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/011072.mp3	"She said: ""Alas for me! shall I bear a child, seeing I am an old woman, and my husband here is an old man? That would indeed be a wonderful thing!"""
73	Hud—هود	11	Hud	قَالُوا أَتَعْجَبِينَ مِنْ أَمْرِ اللَّهِ ۖ رَحْمَتُ اللَّهِ وَبَرَكَاتُهُ عَلَيْكُمْ أَهْلَ الْبَيْتِ ۚ إِنَّهُ حَمِيدٌ مَّجِيدٌ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/011073.mp3	http://www.everyayah.org/data/Alafasy_64kbps/011073.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/011073.mp3	"They said: ""Dost thou wonder at Allah's decree? The grace of Allah and His blessings on you, o ye people of the house! for He is indeed worthy of all praise, full of all glory!"""
74	Hud—هود	11	Hud	فَلَمَّا ذَهَبَ عَنْ إِبْرَاهِيمَ الرَّوْعُ وَجَاءَتْهُ الْبُشْرَىٰ يُجَادِلُنَا فِي قَوْمِ لُوطٍ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/011074.mp3	http://www.everyayah.org/data/Alafasy_64kbps/011074.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/011074.mp3	When fear had passed from (the mind of) Abraham and the glad tidings had reached him, he began to plead with us for Lut's people.
75	Hud—هود	11	Hud	إِنَّ إِبْرَاهِيمَ لَحَلِيمٌ أَوَّاهٌ مُّنِيبٌ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/011075.mp3	http://www.everyayah.org/data/Alafasy_64kbps/011075.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/011075.mp3	For Abraham was, without doubt, forbearing (of faults), compassionate, and given to look to Allah.
76	Hud—هود	11	Hud	يَا إِبْرَاهِيمُ أَعْرِضْ عَنْ هَٰذَا ۖ إِنَّهُ قَدْ جَاءَ أَمْرُ رَبِّكَ ۖ وَإِنَّهُمْ آتِيهِمْ عَذَابٌ غَيْرُ مَرْدُودٍ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/011076.mp3	http://www.everyayah.org/data/Alafasy_64kbps/011076.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/011076.mp3	O Abraham! Seek not this. The decree of thy Lord hath gone forth: for them there cometh a penalty that cannot be turned back!
77	Hud—هود	11	Hud	وَلَمَّا جَاءَتْ رُسُلُنَا لُوطًا سِيءَ بِهِمْ وَضَاقَ بِهِمْ ذَرْعًا وَقَالَ هَٰذَا يَوْمٌ عَصِيبٌ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/011077.mp3	http://www.everyayah.org/data/Alafasy_64kbps/011077.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/011077.mp3	"When Our messengers came to Lut, he was grieved on their account and felt himself powerless (to protect) them. He said: ""This is a distressful day."""
78	Hud—هود	11	Hud	وَجَاءَهُ قَوْمُهُ يُهْرَعُونَ إِلَيْهِ وَمِن قَبْلُ كَانُوا يَعْمَلُونَ السَّيِّئَاتِ ۚ قَالَ يَا قَوْمِ هَٰؤُلَاءِ بَنَاتِي هُنَّ أَطْهَرُ لَكُمْ ۖ فَاتَّقُوا اللَّهَ وَلَا تُخْزُونِ فِي ضَيْفِي ۖ أَلَيْسَ مِنكُمْ رَجُلٌ رَّشِيدٌ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/011078.mp3	http://www.everyayah.org/data/Alafasy_64kbps/011078.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/011078.mp3	"And his people came rushing towards him, and they had been long in the habit of practising abominations. He said: ""O my people! Here are my daughters: they are purer for you (if ye marry)! Now fear Allah, and cover me not with shame about my guests! Is there not among you a single right-minded man?"""
79	Hud—هود	11	Hud	قَالُوا لَقَدْ عَلِمْتَ مَا لَنَا فِي بَنَاتِكَ مِنْ حَقٍّ وَإِنَّكَ لَتَعْلَمُ مَا نُرِيدُ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/011079.mp3	http://www.everyayah.org/data/Alafasy_64kbps/011079.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/011079.mp3	"They said: ""Well dost thou know we have no need of thy daughters: indeed thou knowest quite well what we want!"""
80	Hud—هود	11	Hud	قَالَ لَوْ أَنَّ لِي بِكُمْ قُوَّةً أَوْ آوِي إِلَىٰ رُكْنٍ شَدِيدٍ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/011080.mp3	http://www.everyayah.org/data/Alafasy_64kbps/011080.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/011080.mp3	"He said: ""Would that I had power to suppress you or that I could betake myself to some powerful support."""
81	Hud—هود	11	Hud	قَالُوا يَا لُوطُ إِنَّا رُسُلُ رَبِّكَ لَن يَصِلُوا إِلَيْكَ ۖ فَأَسْرِ بِأَهْلِكَ بِقِطْعٍ مِّنَ اللَّيْلِ وَلَا يَلْتَفِتْ مِنكُمْ أَحَدٌ إِلَّا امْرَأَتَكَ ۖ إِنَّهُ مُصِيبُهَا مَا أَصَابَهُمْ ۚ إِنَّ مَوْعِدَهُمُ الصُّبْحُ ۚ أَلَيْسَ الصُّبْحُ بِقَرِيبٍ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/011081.mp3	http://www.everyayah.org/data/Alafasy_64kbps/011081.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/011081.mp3	"(The Messengers) said: ""O Lut! We are Messengers from thy Lord! By no means shall they reach thee! now travel with thy family while yet a part of the night remains, and let not any of you look back: but thy wife (will remain behind): To her will happen what happens to the people. Morning is their time appointed: Is not the morning nigh?"""
82	Hud—هود	11	Hud	فَلَمَّا جَاءَ أَمْرُنَا جَعَلْنَا عَالِيَهَا سَافِلَهَا وَأَمْطَرْنَا عَلَيْهَا حِجَارَةً مِّن سِجِّيلٍ مَّنضُودٍ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/011082.mp3	http://www.everyayah.org/data/Alafasy_64kbps/011082.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/011082.mp3	When Our Decree issued, We turned (the cities) upside down, and rained down on them brimstones hard as baked clay, spread, layer on layer,-
83	Hud—هود	11	Hud	مُّسَوَّمَةً عِندَ رَبِّكَ ۖ وَمَا هِيَ مِنَ الظَّالِمِينَ بِبَعِيدٍ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/011083.mp3	http://www.everyayah.org/data/Alafasy_64kbps/011083.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/011083.mp3	Marked as from thy Lord: Nor are they ever far from those who do wrong!
84	Hud—هود	11	Hud	۞ وَإِلَىٰ مَدْيَنَ أَخَاهُمْ شُعَيْبًا ۚ قَالَ يَا قَوْمِ اعْبُدُوا اللَّهَ مَا لَكُم مِّنْ إِلَٰهٍ غَيْرُهُ ۖ وَلَا تَنقُصُوا الْمِكْيَالَ وَالْمِيزَانَ ۚ إِنِّي أَرَاكُم بِخَيْرٍ وَإِنِّي أَخَافُ عَلَيْكُمْ عَذَابَ يَوْمٍ مُّحِيطٍ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/011084.mp3	http://www.everyayah.org/data/Alafasy_64kbps/011084.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/011084.mp3	"To the Madyan People (We sent) Shu'aib, one of their own brethren: he said: ""O my people! worship Allah: Ye have no other god but Him. And give not short measure or weight: I see you in prosperity, but I fear for you the penalty of a day that will compass (you) all round."
85	Hud—هود	11	Hud	وَيَا قَوْمِ أَوْفُوا الْمِكْيَالَ وَالْمِيزَانَ بِالْقِسْطِ ۖ وَلَا تَبْخَسُوا النَّاسَ أَشْيَاءَهُمْ وَلَا تَعْثَوْا فِي الْأَرْضِ مُفْسِدِينَ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/011085.mp3	http://www.everyayah.org/data/Alafasy_64kbps/011085.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/011085.mp3	"""And O my people! give just measure and weight, nor withhold from the people the things that are their due: commit not evil in the land with intent to do mischief."
86	Hud—هود	11	Hud	بَقِيَّتُ اللَّهِ خَيْرٌ لَّكُمْ إِن كُنتُم مُّؤْمِنِينَ ۚ وَمَا أَنَا عَلَيْكُم بِحَفِيظٍ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/011086.mp3	http://www.everyayah.org/data/Alafasy_64kbps/011086.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/011086.mp3	"""That which is left you by Allah is best for you, if ye (but) believed! but I am not set over you to keep watch!"""
87	Hud—هود	11	Hud	قَالُوا يَا شُعَيْبُ أَصَلَاتُكَ تَأْمُرُكَ أَن نَّتْرُكَ مَا يَعْبُدُ آبَاؤُنَا أَوْ أَن نَّفْعَلَ فِي أَمْوَالِنَا مَا نَشَاءُ ۖ إِنَّكَ لَأَنتَ الْحَلِيمُ الرَّشِيدُ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/011087.mp3	http://www.everyayah.org/data/Alafasy_64kbps/011087.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/011087.mp3	"They said: ""O Shu'aib! Does thy (religion of) prayer command thee that we leave off the worship which our fathers practised, or that we leave off doing what we like with our property? truly, thou art the one that forbeareth with faults and is right-minded!"""
88	Hud—هود	11	Hud	قَالَ يَا قَوْمِ أَرَأَيْتُمْ إِن كُنتُ عَلَىٰ بَيِّنَةٍ مِّن رَّبِّي وَرَزَقَنِي مِنْهُ رِزْقًا حَسَنًا ۚ وَمَا أُرِيدُ أَنْ أُخَالِفَكُمْ إِلَىٰ مَا أَنْهَاكُمْ عَنْهُ ۚ إِنْ أُرِيدُ إِلَّا الْإِصْلَاحَ مَا اسْتَطَعْتُ ۚ وَمَا تَوْفِيقِي إِلَّا بِاللَّهِ ۚ عَلَيْهِ تَوَكَّلْتُ وَإِلَيْهِ أُنِيبُ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/011088.mp3	http://www.everyayah.org/data/Alafasy_64kbps/011088.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/011088.mp3	"He said: ""O my people! see ye whether I have a Clear (Sign) from my Lord, and He hath given me sustenance (pure and) good as from Himself? I wish not, in opposition to you, to do that which I forbid you to do. I only desire (your) betterment to the best of my power; and my success (in my task) can only come from Allah. In Him I trust, and unto Him I look."
89	Hud—هود	11	Hud	وَيَا قَوْمِ لَا يَجْرِمَنَّكُمْ شِقَاقِي أَن يُصِيبَكُم مِّثْلُ مَا أَصَابَ قَوْمَ نُوحٍ أَوْ قَوْمَ هُودٍ أَوْ قَوْمَ صَالِحٍ ۚ وَمَا قَوْمُ لُوطٍ مِّنكُم بِبَعِيدٍ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/011089.mp3	http://www.everyayah.org/data/Alafasy_64kbps/011089.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/011089.mp3	"""And O my people! let not my dissent (from you) cause you to sin, lest ye suffer a fate similar to that of the people of Noah or of Hud or of Salih, nor are the people of Lut far off from you!"
90	Hud—هود	11	Hud	وَاسْتَغْفِرُوا رَبَّكُمْ ثُمَّ تُوبُوا إِلَيْهِ ۚ إِنَّ رَبِّي رَحِيمٌ وَدُودٌ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/011090.mp3	http://www.everyayah.org/data/Alafasy_64kbps/011090.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/011090.mp3	"""But ask forgiveness of your Lord, and turn unto Him (in repentance): For my Lord is indeed full of mercy and loving-kindness."""
91	Hud—هود	11	Hud	قَالُوا يَا شُعَيْبُ مَا نَفْقَهُ كَثِيرًا مِّمَّا تَقُولُ وَإِنَّا لَنَرَاكَ فِينَا ضَعِيفًا ۖ وَلَوْلَا رَهْطُكَ لَرَجَمْنَاكَ ۖ وَمَا أَنتَ عَلَيْنَا بِعَزِيزٍ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/011091.mp3	http://www.everyayah.org/data/Alafasy_64kbps/011091.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/011091.mp3	"They said: ""O Shu'aib! much of what thou sayest we do not understand! In fact among us we see that thou hast no strength! Were it not for thy family, we should certainly have stoned thee! for thou hast among us no great position!"""
92	Hud—هود	11	Hud	قَالَ يَا قَوْمِ أَرَهْطِي أَعَزُّ عَلَيْكُم مِّنَ اللَّهِ وَاتَّخَذْتُمُوهُ وَرَاءَكُمْ ظِهْرِيًّا ۖ إِنَّ رَبِّي بِمَا تَعْمَلُونَ مُحِيطٌ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/011092.mp3	http://www.everyayah.org/data/Alafasy_64kbps/011092.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/011092.mp3	"He said: ""O my people! is then my family of more consideration with you than Allah? For ye cast Him away behind your backs (with contempt). But verily my Lord encompasseth on all sides all that ye do!"
93	Hud—هود	11	Hud	وَيَا قَوْمِ اعْمَلُوا عَلَىٰ مَكَانَتِكُمْ إِنِّي عَامِلٌ ۖ سَوْفَ تَعْلَمُونَ مَن يَأْتِيهِ عَذَابٌ يُخْزِيهِ وَمَنْ هُوَ كَاذِبٌ ۖ وَارْتَقِبُوا إِنِّي مَعَكُمْ رَقِيبٌ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/011093.mp3	http://www.everyayah.org/data/Alafasy_64kbps/011093.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/011093.mp3	"""And O my people! Do whatever ye can: I will do (my part): Soon will ye know who it is on whom descends the penalty of ignominy; and who is a liar! and watch ye! for I too am watching with you!"""
94	Hud—هود	11	Hud	وَلَمَّا جَاءَ أَمْرُنَا نَجَّيْنَا شُعَيْبًا وَالَّذِينَ آمَنُوا مَعَهُ بِرَحْمَةٍ مِّنَّا وَأَخَذَتِ الَّذِينَ ظَلَمُوا الصَّيْحَةُ فَأَصْبَحُوا فِي دِيَارِهِمْ جَاثِمِينَ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/011094.mp3	http://www.everyayah.org/data/Alafasy_64kbps/011094.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/011094.mp3	When Our decree issued, We saved Shu'aib and those who believed with him, by (special) mercy from Ourselves: But the (mighty) blast did seize the wrong-doers, and they lay prostrate in their homes by the morning,-
95	Hud—هود	11	Hud	كَأَن لَّمْ يَغْنَوْا فِيهَا ۗ أَلَا بُعْدًا لِّمَدْيَنَ كَمَا بَعِدَتْ ثَمُودُ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/011095.mp3	http://www.everyayah.org/data/Alafasy_64kbps/011095.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/011095.mp3	As if they had never dwelt and flourished there! Ah! Behold! How the Madyan were removed (from sight) as were removed the Thamud!
96	Hud—هود	11	Hud	وَلَقَدْ أَرْسَلْنَا مُوسَىٰ بِآيَاتِنَا وَسُلْطَانٍ مُّبِينٍ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/011096.mp3	http://www.everyayah.org/data/Alafasy_64kbps/011096.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/011096.mp3	And we sent Moses, with Our Clear (Signs) and an authority manifest,
97	Hud—هود	11	Hud	إِلَىٰ فِرْعَوْنَ وَمَلَئِهِ فَاتَّبَعُوا أَمْرَ فِرْعَوْنَ ۖ وَمَا أَمْرُ فِرْعَوْنَ بِرَشِيدٍ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/011097.mp3	http://www.everyayah.org/data/Alafasy_64kbps/011097.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/011097.mp3	Unto Pharaoh and his chiefs: but they followed the command of Pharaoh and the command of Pharaoh was no right (guide).
98	Hud—هود	11	Hud	يَقْدُمُ قَوْمَهُ يَوْمَ الْقِيَامَةِ فَأَوْرَدَهُمُ النَّارَ ۖ وَبِئْسَ الْوِرْدُ الْمَوْرُودُ	Yaqdumu qawmahu yawma alqiyamati faawradahumu alnnara wabisa alwirdu almawroodu	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/011098.mp3	http://www.everyayah.org/data/Alafasy_64kbps/011098.mp3	He will go before his people on the Day of Judgment, and lead them into the Fire (as cattle are led to water): But woeful indeed will be the place to which they are led!
99	Hud—هود	11	Hud	وَأُتْبِعُوا فِي هَٰذِهِ لَعْنَةً وَيَوْمَ الْقِيَامَةِ ۚ بِئْسَ الرِّفْدُ الْمَرْفُودُ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/011099.mp3	http://www.everyayah.org/data/Alafasy_64kbps/011099.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/011099.mp3	And they are followed by a curse in this (life) and on the Day of Judgment: and woeful is the gift which shall be given (unto them)!
100	Hud—هود	11	Hud	ذَٰلِكَ مِنْ أَنبَاءِ الْقُرَىٰ نَقُصُّهُ عَلَيْكَ ۖ مِنْهَا قَائِمٌ وَحَصِيدٌ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/011100.mp3	http://www.everyayah.org/data/Alafasy_64kbps/011100.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/011100.mp3	These are some of the stories of communities which We relate unto thee: of them some are standing, and some have been mown down (by the sickle of time).
101	Hud—هود	11	Hud	وَمَا ظَلَمْنَاهُمْ وَلَٰكِن ظَلَمُوا أَنفُسَهُمْ ۖ فَمَا أَغْنَتْ عَنْهُمْ آلِهَتُهُمُ الَّتِي يَدْعُونَ مِن دُونِ اللَّهِ مِن شَيْءٍ لَّمَّا جَاءَ أَمْرُ رَبِّكَ ۖ وَمَا زَادُوهُمْ غَيْرَ تَتْبِيبٍ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/011101.mp3	http://www.everyayah.org/data/Alafasy_64kbps/011101.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/011101.mp3	It was not We that wronged them: They wronged their own souls: the deities, other than Allah, whom they invoked, profited them no whit when there issued the decree of thy Lord: Nor did they add aught (to their lot) but perdition!
102	Hud—هود	11	Hud	وَكَذَٰلِكَ أَخْذُ رَبِّكَ إِذَا أَخَذَ الْقُرَىٰ وَهِيَ ظَالِمَةٌ ۚ إِنَّ أَخْذَهُ أَلِيمٌ شَدِيدٌ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/011102.mp3	http://www.everyayah.org/data/Alafasy_64kbps/011102.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/011102.mp3	Such is the chastisement of thy Lord when He chastises communities in the midst of their wrong: grievous, indeed, and severe is His chastisement.
103	Hud—هود	11	Hud	إِنَّ فِي ذَٰلِكَ لَآيَةً لِّمَنْ خَافَ عَذَابَ الْآخِرَةِ ۚ ذَٰلِكَ يَوْمٌ مَّجْمُوعٌ لَّهُ النَّاسُ وَذَٰلِكَ يَوْمٌ مَّشْهُودٌ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/011103.mp3	http://www.everyayah.org/data/Alafasy_64kbps/011103.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/011103.mp3	In that is a Sign for those who fear the penalty of the Hereafter: that is a Day for which mankind will be gathered together: that will be a Day of Testimony.
104	Hud—هود	11	Hud	وَمَا نُؤَخِّرُهُ إِلَّا لِأَجَلٍ مَّعْدُودٍ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/011104.mp3	http://www.everyayah.org/data/Alafasy_64kbps/011104.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/011104.mp3	Nor shall We delay it but for a term appointed.
105	Hud—هود	11	Hud	يَوْمَ يَأْتِ لَا تَكَلَّمُ نَفْسٌ إِلَّا بِإِذْنِهِ ۚ فَمِنْهُمْ شَقِيٌّ وَسَعِيدٌ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/011105.mp3	http://www.everyayah.org/data/Alafasy_64kbps/011105.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/011105.mp3	The day it arrives, no soul shall speak except by His leave: of those (gathered) some will be wretched and some will be blessed.
106	Hud—هود	11	Hud	فَأَمَّا الَّذِينَ شَقُوا فَفِي النَّارِ لَهُمْ فِيهَا زَفِيرٌ وَشَهِيقٌ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/011106.mp3	http://www.everyayah.org/data/Alafasy_64kbps/011106.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/011106.mp3	Those who are wretched shall be in the Fire: There will be for them therein (nothing but) the heaving of sighs and sobs:
107	Hud—هود	11	Hud	خَالِدِينَ فِيهَا مَا دَامَتِ السَّمَاوَاتُ وَالْأَرْضُ إِلَّا مَا شَاءَ رَبُّكَ ۚ إِنَّ رَبَّكَ فَعَّالٌ لِّمَا يُرِيدُ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/011107.mp3	http://www.everyayah.org/data/Alafasy_64kbps/011107.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/011107.mp3	They will dwell therein for all the time that the heavens and the earth endure, except as thy Lord willeth: for thy Lord is the (sure) accomplisher of what He planneth.
